ID,x0,y0,x1,y1
0,36.6827,-126.112,8.87366,-125.46
1,8.87366,-125.46,8.34863,-94.8092
2,-0.626078,-94.6815,-0.259791,-125.592
3,-0.259791,-125.592,-30.1538,-125.653
4,-30.7468,-140.146,36.8273,-139.828
